,Unnamed: 0,TEAM,PLAYOFF,SEASON
185,9,UTA,0,2013
186,10,POR,0,2013
187,11,MIN,0,2013
188,12,PHX,0,2013
189,13,NOP,0,2013
190,14,MEM,1,2013
191,0,LAC,1,2014
192,1,HOU,1,2014
193,2,MIN,0,2014
194,3,POR,1,2014
195,4,OKC,1,2014
196,5,SAS,1,2014
197,6,PHX,0,2014
198,7,DAL,1,2014
199,8,DEN,0,2014
200,9,GSW,1,2014
201,10,LAL,0,2014
202,11,SAC,0,2014
203,12,NOP,0,2014
204,13,MEM,1,2014
205,14,UTA,0,2014
206,0,GSW,1,2015
207,1,LAC,1,2015
208,2,DAL,1,2015
209,3,OKC,0,2015
210,4,HOU,1,2015
211,5,SAS,1,2015
212,6,POR,1,2015
213,7,PHX,0,2015
214,8,DEN,0,2015
215,9,SAC,0,2015
216,10,NOP,1,2015
217,11,LAL,0,2015
218,12,MEM,1,2015
219,13,MIN,0,2015
220,14,UTA,0,2015
221,0,GSW,1,2016
222,1,OKC,1,2016
223,2,SAC,0,2016
224,3,HOU,1,2016
225,4,POR,1,2016
226,5,LAC,1,2016
227,6,SAS,1,2016
228,7,NOP,0,2016
229,8,MIN,0,2016
230,9,DAL,1,2016
231,10,DEN,0,2016
232,11,PHX,0,2016
233,12,MEM,1,2016
234,13,UTA,0,2016
235,14,LAL,0,2016
236,0,GSW,1,2017
237,1,HOU,1,2017
238,2,DEN,0,2017
239,3,LAC,1,2017
240,4,POR,1,2017
241,5,PHX,0,2017
242,6,OKC,1,2017
243,7,MIN,0,2017
244,8,SAS,1,2017
245,9,LAL,0,2017
246,10,NOP,0,2017
247,11,SAC,0,2017
248,12,UTA,1,2017
249,13,MEM,1,2017
250,14,DAL,0,2017
251,0,GSW,1,2018
252,1,HOU,1,2018
253,2,NOP,1,2018
254,3,DEN,0,2018
255,4,MIN,1,2018
256,5,LAC,0,2018
257,6,LAL,0,2018
258,7,OKC,1,2018
259,8,POR,1,2018
260,9,UTA,1,2018
261,10,PHX,0,2018
262,11,SAS,1,2018
263,12,DAL,0,2018
264,13,MEM,0,2018
265,14,SAC,0,2018
266,0,GSW,1,2019
267,1,NOP,0,2019
268,2,LAC,1,2019
269,3,POR,1,2019
270,4,OKC,1,2019
271,5,SAC,0,2019
272,6,HOU,1,2019
273,7,MIN,0,2019
274,8,LAL,0,2019
275,9,SAS,1,2019
276,10,UTA,1,2019
277,11,DEN,1,2019
278,12,DAL,0,2019
279,13,PHX,0,2019
280,14,MEM,0,2019
